setsize,orient_1,orient_2,position_1,position_2,contrast,test,testorient,correctresp,sub,resp,respRT,conf,confRT
2,102,8,3,4,0.5,4,8,4,1,5,0,NaN,0
1,78,,3,,0.5,3,78,2,1,NaN,0,1,0.430943965911865
2,4,100,1,3,0.5,1,4,4,1,2,1.40900301933289,1,1.08743381500244
2,352,102,1,3,0.5,3,102,3,1,NaN,0,1,0.863308906555176
2,348,10,1,4,0.8,4,10,4,1,NaN,0,1,0.271352052688599
2,78,350,3,4,0.8,1,NaN,5,1,5,0,3,1.11962294578552
1,14,,1,,0.5,2,NaN,5,1,1,1.42563486099243,3,0.655769824981689
1,82,,2,,0.5,1,NaN,5,1,5,1.24986600875854,3,0.544162034988403
1,346,,3,,0.8,3,346,1,1,1,1.12190914154053,3,0.528249025344849
1,8,,4,,0.8,4,8,4,1,4,0.738075971603394,3,0.528523921966553
2,10,80,3,4,0.8,3,10,4,1,NaN,0,1,1.48605704307556
1,102,,1,,0.5,1,102,3,1,2,1.28254413604736,1,0.928642988204956
1,100,,2,,0.5,2,100,3,1,3,0.770462989807129,3,1.07249402999878
2,82,356,3,4,0.8,3,82,2,1,NaN,0,1,0.321065187454224
2,4,348,2,3,0.5,2,4,4,1,1,1.18712592124939,NaN,0
2,8,84,2,4,0.8,4,84,2,1,3,1.37891793251038,1,0.721085071563721
2,80,6,1,4,0.5,2,NaN,5,1,5,0,3,0.561232089996338
2,104,12,2,3,0.5,1,NaN,5,1,5,0,3,0.865397930145264
2,86,354,2,4,0.5,3,NaN,5,1,5,0,NaN,0
1,12,,1,,0.5,1,12,4,1,NaN,0,1,1.40961813926697
1,346,,1,,0.5,3,NaN,5,1,5,0,3,0.641950130462646
2,100,8,2,4,0.5,3,NaN,5,1,5,0,2,0.850270986557007
2,100,100,1,4,0.5,3,NaN,5,1,5,0,2,0.594296932220459
2,80,4,1,3,0.8,2,NaN,5,1,5,0,2,0.498234987258911
2,352,346,1,2,0.8,1,352,1,1,1,0.320060968399048,2,1.23365187644958
1,80,,1,,0.8,1,80,2,1,2,0.987107038497925,2,1.04894495010376
1,10,,4,,0.5,4,10,4,1,3,1.03525805473328,1,1.16111612319946
2,346,352,2,3,0.5,2,346,1,1,NaN,0,NaN,0
1,12,,4,,0.5,2,NaN,5,1,5,0,3,0.4096519947052
1,98,,3,,0.8,3,98,3,1,2,1.09975814819336,NaN,0
2,352,346,3,4,0.5,1,NaN,5,1,5,0,3,0.458066940307617
2,12,98,3,4,0.8,2,NaN,5,1,5,0,3,0.634280204772949
1,80,,1,,0.8,4,NaN,5,1,5,0,3,0.63432502746582
2,102,94,1,3,0.8,1,102,3,1,2,1.2764151096344,1,1.22637104988098
2,12,14,1,4,0.5,4,14,4,1,4,0.784743070602417,2,0.522329092025757
1,94,,3,,0.8,4,NaN,5,1,1,0.928645133972168,3,0.810734033584595
1,78,,4,,0.5,3,NaN,5,1,5,0,3,0.522706985473633
2,102,4,1,3,0.5,4,NaN,5,1,5,0,2,0.570941925048828
1,12,,1,,0.8,4,NaN,5,1,5,0,2,0.667237043380737
2,102,86,2,4,0.8,3,NaN,5,1,5,0,3,0.443351030349731
1,100,,4,,0.8,4,100,3,1,3,0.673542022705078,3,0.379206895828247
1,352,,2,,0.5,1,NaN,5,1,5,1.21754503250122,2,0.987417936325073
2,104,100,2,4,0.5,1,NaN,5,1,1,1.13774085044861,2,0.811918020248413
2,356,354,2,3,0.8,2,356,1,1,4,1.15391111373901,1,1.46773195266724
2,348,14,1,3,0.8,1,348,1,1,4,1.47415709495544,3,1.49495100975037
2,350,102,1,4,0.5,4,102,3,1,NaN,0,1,0.284212827682495
1,4,,4,,0.5,4,4,4,1,3,1.01066303253174,1,1.22830986976624
1,12,,1,,0.5,1,12,4,1,3,1.48959708213806,1,1.49536895751953
1,350,,1,,0.8,4,NaN,5,1,1,0.512215852737427,3,0.637219905853271
2,356,94,1,4,0.8,2,NaN,5,1,5,1.15893387794495,3,0.629204988479614
1,98,,2,,0.5,2,98,3,1,NaN,0,1,0.277408123016357
1,12,,2,,0.8,4,NaN,5,1,NaN,0,3,0.373398065567017
2,12,8,1,3,0.8,4,NaN,5,1,1,1.14342904090881,1,0.725755929946899
1,104,,2,,0.8,2,104,3,1,3,0.871577978134155,3,0.837508916854858
2,10,84,1,4,0.8,3,NaN,5,1,5,0,3,0.518062114715576
2,86,80,2,3,0.5,4,NaN,5,1,5,0,2,0.710073947906494
2,12,346,1,3,0.8,4,NaN,5,1,1,1.16007208824158,2,1.28624606132507
2,98,78,3,4,0.5,1,NaN,5,1,5,1.12811994552612,3,0.582288026809692
2,10,82,1,3,0.8,4,NaN,5,1,5,0,2,1.06235885620117
2,352,78,3,4,0.5,1,NaN,5,1,5,0,2,0.886593103408813
1,86,,1,,0.8,1,86,2,1,2,1.12883901596069,3,0.935012102127075
1,78,,2,,0.8,3,NaN,5,1,1,1.11275196075439,2,0.839225053787231
1,14,,1,,0.5,4,NaN,5,1,1,1.06514501571655,2,0.695391178131104
1,356,,3,,0.5,4,NaN,5,1,5,0,3,1.23941612243652
1,8,,3,,0.5,3,8,4,1,1,1.03336787223816,NaN,0
1,98,,1,,0.5,4,NaN,5,1,1,0.905445098876953,3,0.775588035583496
2,8,84,2,3,0.5,3,84,2,1,NaN,0,1,0.279952049255371
1,76,,3,,0.8,2,NaN,5,1,5,1.11395502090454,NaN,0
2,96,80,3,4,0.5,3,96,3,1,NaN,0,3,0.200003147125244
2,6,78,1,2,0.8,1,6,4,1,2,1.4663360118866,NaN,0
2,6,76,2,4,0.5,1,NaN,5,1,1,0.794095039367676,3,0.392518997192383
1,6,,3,,0.5,3,6,4,1,4,0.762222051620483,3,0.408405065536499
2,80,350,1,3,0.8,2,NaN,5,1,1,0.381782054901123,3,0.639364004135132
1,104,,2,,0.5,2,104,3,1,3,0.857194185256958,3,0.582955837249756
2,98,346,1,2,0.8,1,98,3,1,NaN,0,3,1.04723596572876
2,104,80,2,3,0.8,3,80,2,1,2,1.48132586479187,2,1.17537307739258
1,78,,3,,0.8,3,78,2,1,2,1.49636888504028,3,1.2237708568573
2,350,78,2,3,0.8,4,NaN,5,1,1,1.30588102340698,NaN,0
2,80,100,1,3,0.5,3,100,3,1,2,1.30607295036316,NaN,0
2,4,94,1,3,0.8,2,NaN,5,1,5,0,3,0.824141025543213
1,80,,4,,0.5,4,80,2,1,2,0.730069875717163,3,0.408201932907104
2,350,94,2,3,0.5,1,NaN,5,1,5,0,3,0.456562995910645
2,352,356,1,4,0.8,3,NaN,5,1,5,0,2,1.12852716445923
2,4,356,2,4,0.8,1,NaN,5,1,1,1.1144847869873,NaN,0
1,80,,3,,0.5,3,80,2,1,2,0.842719078063965,3,0.872880935668945
2,356,10,3,4,0.8,1,NaN,5,1,5,1.05108308792114,2,0.537083864212036
1,78,,2,,0.5,3,NaN,5,1,5,0,2,1.11322784423828
1,354,,1,,0.8,1,354,1,1,1,0.843239068984985,3,0.649615049362183
1,346,,1,,0.5,2,NaN,5,1,5,0,3,0.425410032272339
1,352,,3,,0.5,4,NaN,5,1,5,0,2,0.617913007736206
1,86,,1,,0.8,1,86,2,1,2,0.939789056777954,3,0.969796895980835
1,102,,2,,0.8,3,NaN,5,1,5,0,2,0.906033992767334
2,352,350,1,3,0.8,1,352,1,1,1,1.27622389793396,3,0.906224012374878
1,14,,4,,0.8,1,NaN,5,1,5,0,3,0.506364107131958
1,348,,3,,0.5,4,NaN,5,1,5,0,3,0.618547916412354
1,354,,2,,0.5,2,354,1,1,1,0.912811994552612,3,0.890641927719116
2,4,346,2,4,0.5,2,4,4,1,NaN,0,3,0.966957807540894
2,4,100,1,4,0.5,3,NaN,5,1,1,0.89641809463501,3,0.730419158935547
2,78,346,1,2,0.8,1,78,2,1,2,1.20061802864075,3,0.938688039779663
2,100,82,1,4,0.8,1,100,3,1,2,1.48782205581665,3,0.794664859771729
2,104,98,1,2,0.5,1,104,3,1,3,1.24879884719849,3,1.49387192726135
2,352,354,2,4,0.8,1,NaN,5,1,5,0,3,0.811161994934082
1,104,,3,,0.5,3,104,3,1,3,0.785233020782471,3,0.683090925216675
2,354,348,1,2,0.8,2,348,1,1,1,0.945523023605347,2,0.763398885726929
1,86,,3,,0.5,1,NaN,5,1,1,1.24960398674011,NaN,0
1,96,,1,,0.5,1,96,3,1,2,0.753736972808838,3,0.747870922088623
1,102,,4,,0.5,4,102,3,1,3,0.929834842681885,3,0.667963981628418
1,350,,3,,0.5,3,350,1,1,1,1.15416598320007,3,0.747904062271118
1,78,,3,,0.5,3,78,2,1,2,1.02629804611206,3,0.812104940414429
1,14,,2,,0.8,2,14,4,1,4,0.834230899810791,3,0.47649097442627
2,352,84,3,4,0.8,4,84,2,1,3,1.48944592475891,1,1.48441004753113
1,4,,1,,0.5,1,4,4,1,4,0.818686008453369,3,0.416961908340454
2,10,104,1,2,0.8,4,NaN,5,1,5,0,3,0.609127044677734
1,104,,2,,0.5,4,NaN,5,1,5,0,3,0.588915824890137
2,102,100,2,3,0.8,3,100,3,1,2,1.45923209190369,3,0.909296989440918
2,80,104,1,2,0.8,1,80,2,1,3,1.20324397087097,3,0.897687911987305
2,352,356,3,4,0.8,4,356,1,1,NaN,0,3,0.881493091583252
2,76,356,2,3,0.5,4,NaN,5,1,5,0,3,0.529896974563599
2,80,346,3,4,0.5,1,NaN,5,1,5,0,3,0.833898067474365
2,352,78,2,4,0.8,1,NaN,5,1,5,0,3,0.929996967315674
1,76,,3,,0.5,3,76,2,1,2,0.347314119338989,3,0.472373962402344
1,86,,1,,0.8,3,NaN,5,1,5,0,3,0.495887041091919
1,12,,3,,0.5,3,12,4,1,4,0.993896961212158,3,0.528209209442139
1,104,,3,,0.5,4,NaN,5,1,5,0,3,0.864211082458496
2,78,354,1,4,0.8,2,NaN,5,1,5,0,3,0.880615949630737
2,100,84,1,3,0.5,4,NaN,5,1,1,1.17041301727295,3,0.672515869140625
1,76,,4,,0.5,4,76,2,1,2,1.13878107070923,3,1.1368100643158
2,86,6,2,4,0.5,4,6,4,1,4,1.1868679523468,3,0.737207889556885
1,14,,2,,0.5,2,14,4,1,4,1.12313199043274,3,0.545165061950684
1,98,,2,,0.5,2,98,3,1,3,0.835113048553467,3,0.449253082275391
1,4,,4,,0.8,4,4,4,1,4,0.819463014602661,3,0.465468883514404
1,354,,2,,0.8,2,354,1,1,1,0.899533033370972,3,0.641556024551392
2,84,76,1,4,0.8,2,NaN,5,1,1,1.02754807472229,3,0.75364089012146
1,8,,4,,0.8,1,NaN,5,1,1,0.995657920837402,3,0.786056041717529
1,84,,4,,0.5,1,NaN,5,1,5,0,3,0.754101037979126
1,78,,2,,0.5,2,78,2,1,2,1.04398703575134,3,0.450295925140381
1,348,,2,,0.5,4,NaN,5,1,3,0.932102203369141,3,0.482187986373901
1,86,,4,,0.8,4,86,2,1,2,0.900431156158447,3,0.674718856811523
2,346,86,2,3,0.5,2,346,1,1,1,1.49273896217346,3,0.882606983184814
1,98,,4,,0.5,1,NaN,5,1,5,0,2,0.498841047286987
1,14,,4,,0.8,4,14,4,1,4,1.23690700531006,3,0.691096067428589
2,86,96,3,4,0.8,4,96,3,1,3,1.06109380722046,3,0.547404050827026
1,100,,4,,0.8,1,NaN,5,1,5,0,3,0.867464065551758
1,348,,4,,0.5,4,348,1,1,4,1.41345596313477,3,1.4880850315094
2,6,352,1,2,0.8,4,NaN,5,1,3,0.429533958435059,3,0.623575210571289
2,100,354,1,4,0.5,4,354,1,1,1,1.27308821678162,3,0.919559955596924
1,348,,2,,0.5,1,NaN,5,1,5,0,3,1.04743909835815
2,14,102,1,2,0.8,1,14,4,1,1,1.49630808830261,2,0.999541997909546
1,4,,2,,0.5,3,NaN,5,1,5,0,2,0.424015998840332
2,98,6,1,3,0.5,1,98,3,1,3,1.38583302497864,2,1.09589910507202
2,100,354,2,4,0.8,4,354,1,1,4,1.40201592445374,3,1.27232098579407
2,354,100,2,4,0.8,3,NaN,5,1,5,0,3,1.4644238948822
2,80,104,1,3,0.5,2,NaN,5,1,5,0,3,0.504518032073975
1,12,,4,,0.8,4,12,4,1,4,1.46638107299805,2,1.11259984970093
2,98,348,1,4,0.5,2,NaN,5,1,5,0,3,0.792708158493042
1,96,,1,,0.8,1,96,3,1,3,0.538840055465698,3,1.19310092926025
2,12,350,2,4,0.5,3,NaN,5,1,5,0,3,0.857063055038452
1,96,,4,,0.5,4,96,3,1,2,1.49795317649841,3,1.28914213180542
1,12,,3,,0.8,1,NaN,5,1,5,0.987452983856201,2,0.601393938064575
1,12,,3,,0.8,1,NaN,5,1,5,0,2,0.681560039520264
2,86,78,2,4,0.8,4,78,2,1,4,1.49861407279968,1,0.121644020080566
2,98,86,2,3,0.5,4,NaN,5,1,5,1.01999092102051,3,0.585885047912598
1,14,,3,,0.8,1,NaN,5,1,5,0,3,1.08201217651367
1,6,,4,,0.8,3,NaN,5,1,5,0,2,0.954041004180908
2,356,352,1,2,0.8,4,NaN,5,1,5,0,3,0.954261064529419
1,82,,1,,0.8,3,NaN,5,1,5,0,1,1.22656106948853
1,100,,4,,0.8,4,100,3,1,3,0.785060882568359,3,0.922698974609375
1,10,,2,,0.8,2,10,4,1,4,0.993082046508789,3,0.954756021499634
2,104,6,1,2,0.5,1,104,3,1,3,0.617882966995239,3,0.748749971389771
2,96,6,2,3,0.8,3,6,4,1,4,1.33432388305664,3,0.78832483291626
1,100,,2,,0.5,4,NaN,5,1,5,0,2,0.788582801818848
1,350,,2,,0.8,2,350,1,1,1,0.82246994972229,3,0.420825004577637
2,102,348,1,2,0.5,4,NaN,5,1,5,0,2,1.46106290817261
1,356,,1,,0.8,3,NaN,5,1,5,0,3,1.02924203872681
1,346,,1,,0.8,3,NaN,5,1,5,0,3,0.549194097518921
1,356,,2,,0.8,4,NaN,5,1,1,0.935224056243896,3,0.613363027572632
1,348,,3,,0.8,4,NaN,5,1,5,1.28750991821289,3,1.38151597976685
2,82,100,1,4,0.8,2,NaN,5,1,5,0,2,0.741621017456055
1,96,,3,,0.8,3,96,3,1,3,0.823529958724976,3,0.485721826553345
1,354,,4,,0.5,4,354,1,1,1,1.38381218910217,3,1.25396394729614
2,94,94,2,4,0.8,3,NaN,5,1,5,1.15992999076843,3,0.518236875534058
2,96,86,1,2,0.8,1,96,3,1,3,1.30410408973694,2,1.03029894828796
2,346,104,1,2,0.5,2,104,3,1,3,1.32055497169495,3,1.07838797569275
2,8,6,2,3,0.5,3,6,4,1,3,1.19241285324097,1,1.28666305541992
2,104,354,2,3,0.8,4,NaN,5,1,5,1.01674318313599,3,0.518723964691162
2,12,350,3,4,0.8,4,350,1,1,1,1.27275705337524,3,0.934969186782837
1,102,,1,,0.8,2,NaN,5,1,5,0.953166961669922,3,0.487123966217041
1,82,,4,,0.8,1,NaN,5,1,5,0,3,1.22336506843567
1,76,,1,,0.5,3,NaN,5,1,5,1.09719586372375,3,1.06336307525635
2,82,96,3,4,0.5,2,NaN,5,1,5,0,3,1.01558780670166
2,104,102,1,2,0.5,3,NaN,5,1,5,0,3,0.423654794692993
2,350,6,1,4,0.5,1,350,1,1,4,1.4968900680542,1,1.36789703369141
2,104,348,2,3,0.5,2,104,3,2,NaN,0,NaN,0
2,98,102,1,3,0.5,2,NaN,5,2,NaN,0,1,1.19831109046936
1,80,,2,,0.8,3,NaN,5,2,NaN,0,2,1.40667700767517
1,94,,1,,0.5,3,NaN,5,2,2,0.544797897338867,2,1.27861094474792
1,102,,4,,0.5,1,NaN,5,2,3,0.80048394203186,1,1.01088881492615
2,84,12,2,3,0.8,4,NaN,5,2,4,1.15271091461182,1,1.03894996643066
1,354,,3,,0.5,3,354,1,2,1,1.12329888343811,2,1.31105303764343
1,86,,4,,0.8,4,86,2,2,2,0.627313852310181,3,0.767313957214355
1,4,,3,,0.5,3,4,4,2,4,1.28117394447327,2,1.19922685623169
2,348,76,1,4,0.5,2,NaN,5,2,NaN,0,2,1.39169311523438
1,100,,1,,0.8,1,100,3,2,3,0.545532941818237,3,0.863749980926514
2,14,6,2,4,0.8,2,14,4,2,NaN,0,2,0.528055191040039
2,354,352,1,3,0.8,3,352,1,2,NaN,0,2,1.48467397689819
2,94,10,1,2,0.8,1,94,3,2,3,0.705889940261841,1,0.928160905838013
2,94,84,3,4,0.5,2,NaN,5,2,5,0,2,0.99223780632019
1,84,,2,,0.5,2,84,2,2,2,0.898121118545532,3,0.656375885009766
1,350,,1,,0.5,1,350,1,2,1,0.930280923843384,3,1.34452295303345
2,346,348,1,3,0.5,4,NaN,5,2,5,0,2,1.0887291431427
2,10,6,3,4,0.5,2,NaN,5,2,5,0,2,0.576956033706665
2,82,86,2,4,0.8,3,NaN,5,2,NaN,0,2,1.00897097587585
2,12,8,3,4,0.5,3,12,4,2,4,1.17094707489014,3,1.04111003875732
2,352,356,1,4,0.5,1,352,1,2,1,0.453361034393311,3,0.865103960037231
2,80,8,1,4,0.5,2,NaN,5,2,5,0,3,0.833266973495483
2,86,104,1,3,0.8,1,86,2,2,3,0.787193059921265,2,0.945380210876465
2,348,104,2,3,0.8,4,NaN,5,2,5,0,1,0.912546157836914
1,102,,1,,0.5,1,102,3,2,3,0.679795980453491,3,0.661668062210083
1,96,,4,,0.8,4,96,3,2,3,0.727621078491211,3,0.677696943283081
1,10,,1,,0.5,1,10,4,2,4,1.03175497055054,3,0.870228052139282
1,6,,2,,0.5,2,6,4,2,4,0.536157131195068,3,0.662007808685303
2,14,8,2,4,0.8,3,NaN,5,2,5,0,3,0.550156116485596
2,94,352,2,4,0.8,4,352,1,2,NaN,0,2,1.04639291763306
2,356,80,1,2,0.8,1,356,1,2,4,0.968204975128174,1,1.07874894142151
1,94,,3,,0.5,3,94,3,2,3,0.536363840103149,3,0.502803087234497
1,8,,3,,0.8,1,NaN,5,2,5,0,3,1.38306713104248
2,356,346,3,4,0.8,1,NaN,5,2,5,0,3,1.01477098464966
2,98,98,2,4,0.5,3,NaN,5,2,NaN,0,2,1.39943194389343
1,10,,4,,0.8,1,NaN,5,2,5,0,3,1.49041604995728
1,80,,3,,0.8,3,80,2,2,2,1.49650883674622,3,1.12766695022583
1,86,,2,,0.8,2,86,2,2,2,0.825592994689941,3,0.935470819473267
1,10,,1,,0.5,2,NaN,5,2,5,0,3,0.743484020233154
1,350,,2,,0.5,2,350,1,2,1,0.761941909790039,3,0.615824937820435
1,102,,2,,0.8,4,NaN,5,2,5,0,3,1.04793500900269
2,356,98,2,4,0.5,1,NaN,5,2,5,0,1,0.951933145523071
2,356,84,3,4,0.5,1,NaN,5,2,5,0,3,0.456035852432251
1,10,,1,,0.8,1,10,4,2,3,1.0180881023407,1,0.888543128967285
1,102,,1,,0.8,1,102,3,2,3,1.29028701782227,2,0.952455997467041
1,104,,4,,0.8,4,104,3,2,3,1.09839296340942,3,1.00037908554077
1,94,,2,,0.8,2,94,3,2,3,0.954570770263672,3,1.06458806991577
1,84,,4,,0.5,3,NaN,5,2,5,0,3,0.589483022689819
2,346,76,1,2,0.5,1,346,1,2,4,1.49472999572754,1,1.22124409675598
2,104,94,1,4,0.8,2,NaN,5,2,5,0,3,0.996948957443237
1,356,,1,,0.5,3,NaN,5,2,5,0,2,1.3653199672699
1,356,,4,,0.8,2,NaN,5,2,5,0,3,1.02947306632996
2,96,348,1,2,0.5,4,NaN,5,2,5,0,3,1.09342002868652
2,82,100,1,2,0.5,2,100,3,2,3,1.44754886627197,1,0.94978404045105
1,76,,3,,0.8,2,NaN,5,2,5,0,3,1.20606684684753
2,346,78,1,3,0.5,1,346,1,2,4,1.23974895477295,1,1.33388304710388
2,98,10,2,3,0.8,2,98,3,2,2,1.09597015380859,1,0.965999126434326
1,78,,2,,0.5,1,NaN,5,2,5,0,3,1.19005393981934
2,14,76,1,2,0.8,4,NaN,5,2,5,0,3,0.742411851882935
1,98,,3,,0.8,3,98,3,2,2,0.584338903427124,1,1.14271402359009
2,82,8,3,4,0.8,3,82,2,2,3,1.43243479728699,2,1.15869402885437
1,6,,3,,0.5,3,6,4,2,4,0.744815826416016,2,1.22277092933655
1,80,,1,,0.8,1,80,2,2,2,0.600738048553467,3,0.69491982460022
2,348,346,2,3,0.8,1,NaN,5,2,5,0,3,1.0789589881897
1,4,,2,,0.8,2,4,4,2,4,0.98525595664978,3,1.44743704795837
1,80,,3,,0.5,2,NaN,5,2,5,0,3,0.855261087417603
1,84,,2,,0.5,2,84,2,2,2,0.745262145996094,3,1.04761600494385
1,76,,1,,0.5,3,NaN,5,2,5,0,3,1.49141907691956
2,6,6,2,4,0.8,3,NaN,5,2,5,0,3,0.919970989227295
2,102,6,2,4,0.8,1,NaN,5,2,5,0,3,0.919834852218628
2,356,76,2,4,0.8,3,NaN,5,2,5,0,2,0.984063148498535
1,8,,1,,0.8,2,NaN,5,2,5,0,3,1.2541298866272
1,82,,1,,0.5,1,82,2,2,2,1.14759802818298,3,1.03384280204773
1,8,,3,,0.5,1,NaN,5,2,5,0,3,0.858134031295776
1,346,,1,,0.8,2,NaN,5,2,5,0,3,1.06601810455322
1,96,,4,,0.5,4,96,3,2,3,0.688019990921021,2,1.06649494171143
1,96,,4,,0.8,4,96,3,2,3,0.636177062988281,3,0.794207096099854
1,76,,2,,0.8,2,76,2,2,2,0.720630884170532,3,0.666771173477173
2,82,356,1,4,0.5,2,NaN,5,2,5,0,2,0.60291600227356
1,350,,2,,0.5,1,NaN,5,2,5,0,2,1.06681489944458
1,84,,3,,0.8,3,84,2,2,2,0.496971845626831,2,0.923035144805908
2,4,14,1,4,0.8,3,NaN,5,2,5,0,1,1.17938709259033
1,346,,2,,0.8,2,346,1,2,1,0.801488161087036,2,1.05123090744019
1,352,,1,,0.8,3,NaN,5,2,5,0,2,1.08346605300903
1,14,,3,,0.8,3,14,4,2,4,1.08977198600769,2,1.13173604011536
1,346,,2,,0.8,3,NaN,5,2,NaN,0,1,1.19563984870911
2,12,6,1,4,0.5,1,12,4,2,4,0.833647012710571,2,0.843901872634888
1,86,,3,,0.5,3,86,2,2,2,0.529958963394165,2,1.11582708358765
1,96,,3,,0.8,3,96,3,2,3,0.562152862548828,2,1.19605708122253
2,10,348,1,2,0.8,3,NaN,5,2,NaN,0,1,1.16089701652527
2,354,80,1,2,0.8,1,354,1,2,4,1.45824599266052,1,0.848436832427979
1,4,,2,,0.8,2,4,4,2,4,0.754447937011719,2,1.07109904289246
